Metric,Category,Clean Baseline,Base Model (Attacked),Updated Model (Ours),Absolute Diff,Relative Improvement (%),Higher is Better,Outcome,Attack,NoiseRate
RMSE-PC (Calibration Error),Popularity Calibration,0.05769702550578303,0.297261495203696,0.05697144433230175,-0.24029005087139424,80.83456981427663,False,🟢 WIN (+),agas,0.1
MRMC (Rank Miscalibration),Popularity Calibration,0.16860196201011068,0.6175980602735359,0.18155379890209808,-0.4360442613714378,70.60324334216862,False,🟢 WIN (+),agas,0.1
APLT@10 (Long-Tail %),Fairness & Discovery,0.8433333333333334,0.5,0.844,0.344,68.8,True,🟢 WIN (+),agas,0.1
LTC@10 (Catalog Coverage),Fairness & Discovery,0.005570117955439056,0.0026195153896529143,0.006225425950196592,0.003605910560543678,137.6556356487549,True,🟢 WIN (+),agas,0.1
Entropy (Exposure Spread),Fairness & Discovery,0.8755328140588582,0.9421756982487739,0.8350157513451809,-0.10715994690359298,-11.373669168369727,True,🔴 LOSS (-),agas,0.1
Novelty (Self-Information bits),Fairness & Discovery,10.76032554196236,10.736958016402923,10.958038399504243,0.22108038310132017,2.059059770594,True,🟢 WIN (+),agas,0.1
GKPI (Holistic Harmonic Metric),Overall Performance,0.0,0.0,0.0,0.0,0.0,True,⚪ PAR,agas,0.1
ΔGKPI (Attack Degradation %),Adversarial Robustness,,0.0,0.0,0.0,0.0,False,⚪ PAR,agas,0.1
CSS (Calibration Stability Score),Adversarial Robustness,,0.23956446969791295,0.0007255811734812809,-0.23883888852443166,99.69712488066523,False,🟢 WIN (+),agas,0.1
Denoising Detection F1,Adversarial Robustness,,0.9990199281280627,0.9743625196326454,-0.02465740849541731,-2.468159823560248,True,🔴 LOSS (-),agas,0.1
Denoising Detection ROC-AUC,Adversarial Robustness,,1.0,0.652640155967176,-0.34735984403282405,-34.7359844032824,True,🔴 LOSS (-),agas,0.1
Recall@10,Ranking Accuracy,0.0,0.0,0.0,0.0,0.0,True,⚪ PAR,agas,0.2
